Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/6864d27d000bda910d84 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/top | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/top | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/686aa135002026da4fa4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686aa135002026da4fa4/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/686aa135002026da4fa4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686aa135002026da4fa4/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/686e815c00257b0e0e47 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686e815c00257b0e0e47/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686e815c00257b0e0e47/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/6872556a001484438487/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/6872556a001484438487/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686e815c00257b0e0e47/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes/6872557e001a16049440 | Method: DELETE | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/6869e04a003acafb4978 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6869e04a003acafb4978/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/686a79390021c1990d15/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/686ab7e90002c903bfc6 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686ab7e90002c903bfc6/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686ab7e90002c903bfc6/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/686ab7e90002c903bfc6 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/6871fe1000365a8b1f90/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/6871fe1000365a8b1f90/pagination/1 | Method: GET | Status Code: 200 
